179,86
129,99
80,88
115,89
157,97
155,90
148,90
87,92
180,94
175,91
161,99
90,93
134,87
108,97
145,89
142,93
142,100
114,86
105,99
88,96
149,94
104,91
97,96
115,87
138,88
126,90
164,85
153,92
152,87
149,91
127,90
94,87
93,91
121,95
128,93
101,97
83,91
155,95
105,93
156,99
155,88
145,92
95,88
90,95
159,93
94,95
175,85
113,94
142,96
116,96
145,96
127,99
122,99
146,90
106,93
168,93
171,86
108,99
84,85
175,93
124,85
85,86
172,93
95,100
88,91
129,90
139,93
169,99
115,99
87,96
116,86
107,87
131,91
94,91
167,98
168,91
160,90
94,93
134,86
178,86
140,96
109,90
158,98
87,99
147,91
119,86
163,91
164,93
85,86
83,97
146,94
89,94
113,98
127,92
132,86
147,94
111,92
131,87
175,97
158,89
163,85
128,94
153,98
179,87
87,89
121,85
103,88
115,87
128,86
80,99
107,98
178,93
86,89
125,86
134,96
158,88
82,86
88,95
105,88
142,99
