96,86
162,92
118,96
91,90
123,88
151,97
179,95
83,90
168,93
130,94
104,85
139,90
150,90
119,97
178,96
143,95
127,91
155,90
117,87
143,96
92,93
92,99
167,88
108,92
94,92
115,91
117,97
103,93
82,94
120,89
161,85
170,85
147,94
152,91
153,88
157,99
125,91
111,88
116,95
84,86
158,96
97,93
148,89
81,88
167,99
142,87
166,86
111,91
164,100
137,86
149,99
103,92
80,99
134,96
172,99
172,94
147,95
103,100
159,94
92,98
118,99
108,90
149,91
180,86
154,91
159,97
115,99
116,96
146,100
150,92
93,100
150,98
88,98
116,93
163,90
103,88
139,100
90,89
166,93
115,93
168,97
163,99
95,85
124,91
136,85
159,91
81,98
166,100
92,96
165,86
131,94
158,99
95,92
104,88
81,88
145,100
147,95
152,96
153,85
150,98
134,86
166,87
107,90
160,96
93,95
164,97
135,91
171,95
175,91
133,86
104,97
108,94
147,88
167,89
153,95
113,86
161,94
158,89
98,86
162,95
